modate,SO2,NO2,NO,O3,PM10
2010/1/1,0.177494792,0.086932292,0.052026042,0.02334375,0.241302083
2010/1/2,0.185354167,0.071151042,0.0491875,0.010604167,0.238333333
2010/1/3,0.151807292,0.060994792,0.051989583,0.011697917,0.173546875
2010/1/4,0.082822917,0.042942708,0.018458333,0.026505208,0.100276042
2010/1/5,0.115526042,0.049088542,0.022166667,0.034432292,0.09628125
2010/1/6,0.209208333,0.064427083,0.02475,0.026135417,0.126630208
2010/1/7,0.245786458,0.091083333,0.042916667,0.0159375,0.186520833
2010/1/8,0.416208333,0.121072917,0.12046875,0.011473958,0.344651042
2010/1/9,0.275989583,0.10115625,0.069260417,0.012984375,0.286364583
2010/1/10,0.262515625,0.099197917,0.046203125,0.017057292,0.242208333
2010/1/11,0.129578125,0.066380208,0.029546875,0.025552083,0.147651042
2010/1/12,0.125776042,0.055598958,0.038307292,0.031916667,0.148953125
2010/1/13,0.11146875,0.051583333,0.022229167,0.03446875,0.102057292
2010/1/14,0.130244792,0.058484375,0.034041667,0.035682292,0.187203125
2010/1/15,0.19071875,0.080671875,0.039807292,0.020130208,0.180536458
2010/1/16,0.172572917,0.079989583,0.064364583,0.026828125,0.199807292
2010/1/17,0.138546875,0.073546875,0.038713542,0.039265625,0.175588542
2010/1/18,0.187927083,0.098182292,0.073557292,0.03325,0.256395833
2010/1/19,0.2085625,0.115786458,0.156869792,0.018833333,0.368385417
2010/1/20,0.07728125,0.042109375,0.030197917,0.024911458,0.177182292
2010/1/21,0.1003125,0.043359375,0.021828125,0.03490625,0.080375
2010/1/22,0.138072917,0.06778125,0.035375,0.023557292,0.142359375
2010/1/23,0.11365625,0.060848958,0.031692708,0.027927083,0.135322917
2010/1/24,0.134302083,0.0701875,0.035635417,0.029911458,0.202520833
2010/1/25,0.11453125,0.052822917,0.024203125,0.039166667,0.15584375
2010/1/26,0.101442708,0.052973958,0.022046875,0.042401042,0.120296875
2010/1/27,0.151171875,0.07821875,0.03965625,0.029973958,0.226713542
2010/1/28,0.218984375,0.094557292,0.068005208,0.019098958,0.26834375
2010/1/29,0.145395833,0.077328125,0.059088542,0.025791667,0.18596875
2010/1/30,0.266234375,0.12059375,0.088416667,0.018614583,0.343385417
2010/1/31,0.29121875,0.105833333,0.061807292,0.019619792,0.305453125
2010/2/1,0.263276042,0.093645833,0.060921875,0.013989583,0.223666667
2010/2/2,0.294005208,0.081869792,0.076255208,0.010473958,0.243854167
2010/2/3,0.215130208,0.093567708,0.11328125,0.010375,0.302270833
2010/2/4,0.192421875,0.088161458,0.065348958,0.015177083,0.304651042
2010/2/5,0.287484375,0.088109375,0.09696875,0.010427083,0.337734375
2010/2/6,0.239932292,0.0679375,0.053963542,0.013963542,0.25796875
2010/2/7,0.148572917,0.060625,0.047276042,0.0205625,0.241114583
2010/2/8,0.238328125,0.076338542,0.078223958,0.010661458,0.319171875
2010/2/9,0.206953125,0.059677083,0.04078125,0.014192708,0.17428125
2010/2/10,0.11584375,0.033484375,0.012671875,0.046416667,0.063817708
2010/2/11,0.0628125,0.0255,0.014265625,0.051223958,0.056703125
2010/2/12,0.147635417,0.058151042,0.026296875,0.030369792,0.102348958
2010/2/13,0.16940625,0.054463542,0.020104167,0.040802083,0.146255208
2010/2/14,0.237255208,0.062661458,0.016828125,0.03678125,0.233369792
2010/2/15,0.12328125,0.039317708,0.015682292,0.0445,0.085765625
2010/2/16,0.12459375,0.046848958,0.020411458,0.049203125,0.124005208
2010/2/17,0.084041667,0.0325,0.014125,0.056380208,0.170682292
2010/2/18,0.090416667,0.032510417,0.016947917,0.05709375,0.089932292
2010/2/19,0.079802083,0.034088542,0.015828125,0.063796875,0.079635417
2010/2/20,0.076197917,0.036484375,0.014192708,0.078,0.113010417
2010/2/21,0.117161458,0.0541875,0.012223958,0.06703125,0.158130208
2010/2/22,0.330921875,0.136942708,0.065036458,0.026427083,0.453322917
2010/2/23,0.085708333,0.038734375,0.0059375,0.119942708,0.202369792
2010/2/24,0.110078125,0.071052083,0.011973958,0.060958333,0.235052083
2010/2/25,0.127671875,0.048802083,0.016109375,0.033760417,0.145057292
